Holdings details

Total Stock Market ETF (VTI)


Equity,as of 02/28/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BKV9674,Reynolds Consumer Products Inc,REYN,<0.01%,Household Products,US,---,"$40,792,874.91","1,644,211"
,BPDJN76,Masterbrand Inc,MBC,<0.01%,Building Products,US,---,"$40,776,728.52","4,029,321"
,BKY7X18,Five9 Inc,FIVN,<0.01%,Application Software,US,---,"$40,541,983.20","2,324,655"
,BM8NHT2,Ecovyst Inc,ECVT,<0.01%,Specialty Chemicals,US,---,"$40,369,906.36","3,582,068"
,2950374,Westamerica BanCorp,WABC,<0.01%,Regional Banks,US,---,"$40,205,362.20","793,788"
,BMYSHK2,Orchid Island Capital Inc,ORC,<0.01%,Mortgage REITs,US,---,"$40,197,084.96","5,402,834"
,2037062,Helix Energy Solutions Group Inc,HLX,<0.01%,Oil & Gas Equipment & Services,US,---,"$40,140,339.32","4,367,828"
,2598246,NeoGenomics Inc,NEO,<0.01%,Health Care Services,US,---,"$40,053,662.05","4,074,635"
,BDFFBM9,Origin Bancorp Inc,OBK,<0.01%,Regional Banks,US,---,"$39,921,356.80","959,648"
,2923804,Universal Corp/VA,UVV,<0.01%,Tobacco,US,---,"$39,831,983.28","741,336"
,BKVKB49,Cadre Holdings Inc,CDRE,<0.01%,Aerospace & Defense,US,---,"$39,749,203.06","895,454"
,2612737,ProAssurance Corp,PRA,<0.01%,Property & Casualty Insurance,US,---,"$39,622,767.10","1,613,962"
,2911166,US Physical Therapy Inc,USPH,<0.01%,Health Care Facilities,US,---,"$39,604,357.36","477,391"
,BS7T2S7,Triumph Financial Inc,TFIN,<0.01%,Regional Banks,US,---,"$39,544,020.18","707,913"
,BX7RSN3,Collegium Pharmaceutical Inc,COLL,<0.01%,Pharmaceuticals,US,---,"$39,530,537.19","948,657"
,BKYC3F7,Cimpress PLC,CMPR,<0.01%,Commercial Printing,US,---,"$39,503,979.00","540,780"
,B1HP598,Willdan Group Inc,WLDN,<0.01%,Research & Consulting Services,US,---,"$39,457,553.58","442,647"
,BYND5T7,Donnelley Financial Solutions Inc,DFIN,<0.01%,Financial Exchanges & Data,US,---,"$39,413,154.40","792,065"
,BN0TRB7,LifeStance Health Group Inc,LFST,<0.01%,Health Care Services,US,---,"$39,352,375.64","5,435,411"
,2341848,1st Source Corp,SRCE,<0.01%,Regional Banks,US,---,"$39,272,684.72","586,072"
,2260363,Deluxe Corp,DLX,<0.01%,Commercial Printing,US,---,"$39,090,231.75","1,408,657"
,BYN5Z59,Live Oak Bancshares Inc,LOB,<0.01%,Regional Banks,US,---,"$39,039,831.09","1,076,367"
,2146816,Brown-Forman Corp,BF/A,<0.01%,Distillers & Vintners,US,---,"$38,965,711.20","1,327,170"
,BMBP1P9,Paymentus Holdings Inc,PAY,<0.01%,Transaction & Payment Processing Services,US,---,"$38,963,850.17","1,592,311"
,BQC4R22,Sezzle Inc,SEZL,<0.01%,Transaction & Payment Processing Services,US,---,"$38,951,068.90","533,942"
,2460550,Ingles Markets Inc,IMKTA,<0.01%,Food Retail,US,---,"$38,871,722.70","456,777"
,2599197,Monarch Casino & Resort Inc,MCRI,<0.01%,Casinos & Gaming,US,---,"$38,782,692.60","403,566"
,BJ367P1,Ladder Capital Corp,LADR,<0.01%,Mortgage REITs,US,---,"$38,684,310.22","3,730,406"
,BNZFTG9,Enact Holdings Inc,ACT,<0.01%,Commercial & Residential Mortgage Finance,US,---,"$38,650,578.64","923,771"
,2786687,Seaboard Corp,SEB,<0.01%,Packaged Foods & Meats,US,---,"$38,628,700.20","7,526"
,BYXR9C0,ProPetro Holding Corp,PUMP,<0.01%,Oil & Gas Equipment & Services,US,---,"$38,616,873.92","3,183,584"
,BPCQZY9,Zymeworks Inc,ZYME,<0.01%,Biotechnology,US,---,"$38,459,079.77","1,651,313"
,BP7KZP7,Monte Rosa Therapeutics Inc,GLUE,<0.01%,Biotechnology,US,---,"$38,287,229.25","2,157,027"
,BMYRFV6,PROCEPT BioRobotics Corp,PRCT,<0.01%,Health Care Equipment,US,---,"$38,127,459.16","1,680,364"
,BYTC1B2,Surgery Partners Inc,SGRY,<0.01%,Health Care Facilities,US,---,"$37,995,677.00","2,451,334"
,B82GC49,Legalzoom.com Inc,LZ,<0.01%,Research & Consulting Services,US,---,"$37,951,736.20","5,398,540"
,2965668,John Wiley & Sons Inc,WLY,<0.01%,Publishing,US,---,"$37,368,584.22","1,204,661"
,B6ZC3N6,TripAdvisor Inc,TRIP,<0.01%,Interactive Media & Services,US,---,"$37,307,315.40","3,690,140"
,BJBLT85,Red Cat Holdings Inc,RCAT,<0.01%,Aerospace & Defense,US,---,"$37,136,541.90","3,187,686"
,BYVN953,Schneider National Inc,SNDR,<0.01%,Cargo Ground Transportation,US,---,"$36,968,100.18","1,302,611"
,BSZBFJ7,Venture Global Inc,VG,<0.01%,Oil & Gas Exploration & Production,US,---,"$36,866,942.22","3,804,638"
,BMBT0Z4,Bristow Group Inc,VTOL,<0.01%,Oil & Gas Equipment & Services,US,---,"$36,680,393.70","768,981"
,B3NXMJ9,Wendy's Co/The,WEN,<0.01%,Restaurants,US,---,"$36,648,274.20","4,784,370"
,B3TPPZ6,Ryerson Holding Corp,RYZ,<0.01%,Steel,US,---,"$36,604,039.92","1,399,237"
,BYXGN81,Savara Inc,SVRA,<0.01%,Biotechnology,US,---,"$36,556,817.22","6,072,561"
,2958538,Safety Insurance Group Inc,SAFT,<0.01%,Property & Casualty Insurance,US,---,"$36,524,915.00","470,500"
,BLBLMD5,Array Technologies Inc,ARRY,<0.01%,Electrical Components & Equipment,US,---,"$36,486,284.52","4,813,494"
,2980939,Carter's Inc,CRI,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$36,458,583.70","1,086,694"
,BMHR7L7,Alkami Technology Inc,ALKT,<0.01%,Application Software,US,---,"$36,419,813.61","2,201,258"
,BDF9YM2,Under Armour Inc,UA,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$36,412,673.13","5,036,331"
,B3PY1N7,RLJ Lodging Trust,RLJ,<0.01%,Hotel & Resort REITs,US,---,"$36,263,079.62","4,521,581"
,2908191,UMH Properties Inc,UMH,<0.01%,Single-Family Residential REITs,US,---,"$36,188,712.56","2,399,782"
,BK4PZ38,Vir Biotechnology Inc,VIR,<0.01%,Biotechnology,US,---,"$36,139,549.32","3,975,748"
,BLFB3Y9,Perella Weinberg Partners,PWP,<0.01%,Investment Banking & Brokerage,US,---,"$36,103,366.29","1,950,479"
,B298495,Kennedy-Wilson Holdings Inc,KW,<0.01%,Real Estate Operating Companies,US,---,"$35,778,161.92","3,288,434"
,2510659,Harmonic Inc,HLIT,<0.01%,Communications Equipment,US,---,"$35,438,931.80","3,333,860"
,2693914,TriNet Group Inc,TNET,<0.01%,Human Resource & Employment Services,US,---,"$35,402,633.28","929,691"
,2369721,G-III Apparel Group Ltd,GIII,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$35,354,851.35","1,155,765"
,BPSKN52,Amprius Technologies Inc,AMPX,<0.01%,Electrical Components & Equipment,US,---,"$35,188,240.98","3,279,426"
,2883641,Tennant Co,TNC,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$35,147,909.36","575,912"
,2733092,Upbound Group Inc,UPBD,<0.01%,Other Specialty Retail,US,---,"$35,119,033.95","1,637,251"
,BSKPBK7,T1 Energy Inc,TE,<0.01%,Electrical Components & Equipment,US,---,"$35,006,516.16","5,682,876"
,2145460,Azenta Inc,AZTA,<0.01%,Life Sciences Tools & Services,US,---,"$34,985,559.56","1,296,722"
,BL95N25,Phibro Animal Health Corp,PAHC,<0.01%,Pharmaceuticals,US,---,"$34,895,347.34","639,226"
,BKTC976,Pennant Group Inc/The,PNTG,<0.01%,Health Care Services,US,---,"$34,806,889.69","1,032,539"
,BJH08B2,BioLife Solutions Inc,BLFS,<0.01%,Life Sciences Tools & Services,US,---,"$34,736,970.40","1,435,412"
,2636878,NPK International Inc,NPKI,<0.01%,Trading Companies & Distributors,US,---,"$34,664,395.35","2,402,245"
,2845005,Stepan Co,SCL,<0.01%,Specialty Chemicals,US,---,"$34,658,939.84","681,056"
,BQXJKH2,MBX Biosciences Inc,MBX,<0.01%,Pharmaceuticals,US,---,"$34,440,341.25","1,058,075"
,B1LDZK9,Great Lakes Dredge & Dock Corp,GLDD,<0.01%,Construction & Engineering,US,---,"$34,382,549.55","2,028,469"
,2679419,Peoples Bancorp Inc/OH,PEBO,<0.01%,Regional Banks,US,---,"$34,334,182.82","1,063,966"
,BP9S504,Two Harbors Investment Corp,TWO,<0.01%,Mortgage REITs,US,---,"$34,182,641.45","3,309,065"
,B0PZN11,Under Armour Inc,UAA,<0.01%,"Apparel, Accessories & Luxury Goods",US,---,"$34,154,467.76","4,603,028"
,BYPBTB9,Appian Corp,APPN,<0.01%,Systems Software,US,---,"$34,146,001.05","1,280,315"
,BMHVMY7,Ouster Inc,OUST,<0.01%,Electronic Equipment & Instruments,US,---,"$33,938,180.35","1,790,933"
,2240622,CRA International Inc,CRAI,<0.01%,Research & Consulting Services,US,---,"$33,916,985.08","196,438"
,BMHSG57,Smartstop Self Storage REIT Inc,SMA,<0.01%,Self-Storage REITs,US,---,"$33,862,889.65","1,015,379"
,BDRW1L7,AnaptysBio Inc,ANAB,<0.01%,Biotechnology,US,---,"$33,830,757.30","614,546"
,B75DGJ3,Ziff Davis Inc,ZD,<0.01%,Interactive Media & Services,US,---,"$33,817,639.40","1,248,805"
,BN13RW9,Chimera Investment Corp,CIM,<0.01%,Mortgage REITs,US,---,"$33,776,386.13","2,481,733"
,2972721,Winnebago Industries Inc,WGO,<0.01%,Automobile Manufacturers,US,---,"$33,767,164.23","846,507"
,2782425,PDF Solutions Inc,PDFS,<0.01%,Semiconductor Materials & Equipment,US,---,"$33,731,424.36","998,562"
,B3V8JL7,PennyMac Mortgage Investment Trust,PMT,<0.01%,Mortgage REITs,US,---,"$33,700,680.32","2,748,832"
,2370381,Geron Corp,GERN,<0.01%,Biotechnology,US,---,"$33,691,617.12","20,054,534"
,2632650,NCR Voyix Corp,VYX,<0.01%,Application Software,US,---,"$33,504,310.84","4,385,381"
,BM8TFC9,Sun Country Airlines Holdings Inc,SNCY,<0.01%,Passenger Airlines,US,---,"$33,441,220.32","1,699,249"
,2910668,United States Antimony Corp,UAMY,<0.01%,Diversified Metals & Mining,US,---,"$33,431,130.00","3,739,500"
,BX8ZSB4,Edgewell Personal Care Co,EPC,<0.01%,Personal Care Products,US,---,"$33,208,654.62","1,460,363"
,BN47P80,Centerspace,CSR,<0.01%,Multi-Family Residential REITs,US,---,"$33,190,002.70","527,663"
,2202763,Compass Minerals International Inc,CMP,<0.01%,Diversified Metals & Mining,US,---,"$33,186,686.40","1,316,932"
,2884280,TETRA Technologies Inc,TTI,<0.01%,Oil & Gas Equipment & Services,US,---,"$32,929,805.88","3,802,518"
,BKVDFF7,ORIC Pharmaceuticals Inc,ORIC,<0.01%,Biotechnology,US,---,"$32,921,201.85","2,447,673"
,BFXC933,Kodiak Sciences Inc,KOD,<0.01%,Biotechnology,US,---,"$32,872,022.40","1,226,568"
,BMZM2X1,MFA Financial Inc,MFA,<0.01%,Mortgage REITs,US,---,"$32,853,607.65","3,249,615"
,BRJHSZ1,Penguin Solutions Inc,PENG,<0.01%,Semiconductors,US,---,"$32,794,684.30","1,578,185"
,BLNB073,PureCycle Technologies Inc,PCT,<0.01%,Commodity Chemicals,US,---,"$32,792,666.16","5,196,936"
,BNM6GH5,Sable Offshore Corp,SOC,<0.01%,Oil & Gas Exploration & Production,US,---,"$32,540,433.75","3,944,295"
,BTTRRD6,Easterly Government Properties Inc,DEA,<0.01%,Office REITs,US,---,"$32,213,071.44","1,383,723"
,2757304,IDT Corp,IDT,<0.01%,Integrated Telecommunication Services,US,---,"$32,205,393.10","632,098"
,BG3G1B4,LGI Homes Inc,LGIH,<0.01%,Homebuilding,US,---,"$32,176,287.30","619,967"
,BK953M8,Nabors Industries Ltd,NBR,<0.01%,Oil & Gas Drilling,US,---,"$32,168,644.20","411,785"
,BMX6DM1,Vertex Inc,VERX,<0.01%,Application Software,US,---,"$32,125,936.16","2,218,642"
,BMXC0N9,Fluence Energy Inc,FLNC,<0.01%,Electrical Components & Equipment,US,---,"$32,049,711.54","2,062,401"
,2763602,Preferred Bank/Los Angeles CA,PFBC,<0.01%,Regional Banks,US,---,"$31,933,413.36","364,038"
,BJ1FD74,Revolve Group Inc,RVLV,<0.01%,Apparel Retail,US,---,"$31,839,023.92","1,265,462"
,BPDH477,NANO Nuclear Energy Inc,NNE,<0.01%,Heavy Electrical Equipment,US,---,"$31,775,342.49","1,195,011"
,2096977,Aehr Test Systems,AEHR,<0.01%,Semiconductor Materials & Equipment,US,---,"$31,772,343.21","848,847"
,2589466,Middlesex Water Co,MSEX,<0.01%,Water Utilities,US,---,"$31,642,704.00","585,976"
,2658429,Old Second Bancorp Inc,OSBC,<0.01%,Regional Banks,US,---,"$31,611,641.62","1,610,374"
,B3N5WD9,Douglas Dynamics Inc,PLOW,<0.01%,Construction Machinery & Heavy Transportation Equipment,US,---,"$31,558,198.56","687,243"
,2414717,Allient Inc,ALNT,<0.01%,Electrical Components & Equipment,US,---,"$31,544,207.36","479,104"
,BMDJ085,Shoals Technologies Group Inc,SHLS,<0.01%,Electrical Components & Equipment,US,---,"$31,529,056.89","5,316,873"
,BJV2ZZ7,XPEL Inc,XPEL,<0.01%,Automotive Parts & Equipment,US,---,"$31,501,592.74","739,127"
,2888613,Tompkins Financial Corp,TMP,<0.01%,Regional Banks,US,---,"$31,474,803.39","410,309"
,2254010,Daktronics Inc,DAKT,<0.01%,Electronic Equipment & Instruments,US,---,"$31,445,696.38","1,219,771"
,BMDXB06,SkyWater Technology Inc,SKYT,<0.01%,Semiconductors,US,---,"$31,427,692.32","1,066,792"
,2125901,OceanFirst Financial Corp,OCFC,<0.01%,Regional Banks,US,---,"$31,252,197.90","1,730,465"
,2063670,REX American Resources Corp,REX,<0.01%,Oil & Gas Refining & Marketing,US,---,"$31,245,114.04","878,659"
,BRXYZ57,Fortrea Holdings Inc,FTRE,<0.01%,Life Sciences Tools & Services,US,---,"$31,181,596.32","2,908,731"
,BKDRF35,AdaptHealth Corp,AHCO,<0.01%,Health Care Distributors,US,---,"$31,143,251.10","3,403,634"
,BNNTCT7,Enovix Corp,ENVX,<0.01%,Electrical Components & Equipment,US,---,"$31,076,810.56","5,896,928"
,BNC1BX1,Taysha Gene Therapies Inc,TSHA,<0.01%,Biotechnology,US,---,"$31,037,974.50","6,851,650"
,BG0ZML1,BrightView Holdings Inc,BV,<0.01%,Environmental & Facilities Services,US,---,"$30,885,669.85","2,239,715"
,BDBRDR8,Metropolitan Bank Holding Corp,MCB,<0.01%,Regional Banks,US,---,"$30,879,179.10","366,954"
,BQKXDX4,Sionna Therapeutics Inc,SION,<0.01%,Biotechnology,US,---,"$30,801,064.14","842,941"
,B3M3278,Piedmont Realty Trust Inc,PDM,<0.01%,Office REITs,US,---,"$30,752,759.73","4,051,747"
,2696117,Papa John's International Inc,PZZA,<0.01%,Restaurants,US,---,"$30,723,219.45","980,007"
,B0BV2Y9,Lincoln Educational Services Corp,LINC,<0.01%,Education Services,US,---,"$30,568,693.68","843,507"
,BMVNDH9,Tyra Biosciences Inc,TYRA,<0.01%,Biotechnology,US,---,"$30,554,330.32","917,272"
,BMGNBJ2,C3.ai Inc,AI,<0.01%,Application Software,US,---,"$30,445,582.35","3,829,633"
,2925037,Unitil Corp,UTL,<0.01%,Multi-Utilities,US,---,"$30,347,541.88","580,148"
,2706470,Community Trust Bancorp Inc,CTBI,<0.01%,Regional Banks,US,---,"$30,332,388.12","505,203"
,BLR7H87,Xeris Biopharma Holdings Inc,XERS,<0.01%,Pharmaceuticals,US,---,"$30,306,582.72","4,952,056"
,BK6MJ46,Gold.com Inc,GOLD,<0.01%,Distributors,US,---,"$30,138,015.11","524,413"
,BLCB610,Montrose Environmental Group Inc,MEG,<0.01%,Environmental & Facilities Services,US,---,"$30,103,992.66","1,030,253"
,BF081J4,MannKind Corp,MNKD,<0.01%,Biotechnology,US,---,"$30,004,068.96","9,147,582"
,BDCD1P9,Limbach Holdings Inc,LMB,<0.01%,Construction & Engineering,US,---,"$29,918,931.98","327,269"
,BF7J9X0,Coastal Financial Corp/WA,CCB,<0.01%,Regional Banks,US,---,"$29,906,508.33","403,107"
,B3SWPT2,Ameresco Inc,AMRC,<0.01%,Construction & Engineering,US,---,"$29,896,337.70","981,495"
,BN2QTD2,Excelerate Energy Inc,EE,<0.01%,Oil & Gas Storage & Transportation,US,---,"$29,860,911.50","741,886"
,B8JFD24,Gentherm Inc,THRM,<0.01%,Automotive Parts & Equipment,US,---,"$29,856,910.85","911,105"
,B84KWJ4,United Parks & Resorts Inc,PRKS,<0.01%,Leisure Facilities,US,---,"$29,833,468.70","857,530"
,2619880,Heritage Financial Corp/WA,HFWA,<0.01%,Regional Banks,US,---,"$29,785,303.64","1,127,804"
,B2QXCJ9,Quanex Building Products Corp,NX,<0.01%,Building Products,US,---,"$29,752,897.20","1,449,240"
,BMDJ3B9,UWM Holdings Corp,UWMC,<0.01%,Commercial & Residential Mortgage Finance,US,---,"$29,693,028.33","6,733,113"
,B3NTLD4,American Assets Trust Inc,AAT,<0.01%,Diversified REITs,US,---,"$29,476,820.16","1,510,083"
,B1Q1RR9,Employers Holdings Inc,EIG,<0.01%,Property & Casualty Insurance,US,---,"$29,450,338.35","712,221"
,BKDWYT9,Babcock & Wilcox Enterprises Inc,BW,<0.01%,Heavy Electrical Equipment,US,---,"$29,390,702.10","3,317,235"
,BVMZK21,EquipmentShare.com Inc,EQPT,<0.01%,Trading Companies & Distributors,US,---,"$29,288,957.36","1,009,268"
,BYQRFY1,Teladoc Health Inc,TDOC,<0.01%,Health Care Technology,US,---,"$29,179,229.32","5,547,382"
,BNSNZL7,Coursera Inc,COUR,<0.01%,Education Services,US,---,"$29,151,763.37","4,547,857"
,BKPG0T1,Janus International Group Inc,JBI,<0.01%,Building Products,US,---,"$28,953,843.60","4,160,035"
,B06RWD1,Cogent Communications Holdings Inc,CCOI,<0.01%,Alternative Carriers,US,---,"$28,950,863.48","1,543,223"
,2946845,Weis Markets Inc,WMK,<0.01%,Food Retail,US,---,"$28,866,302.08","426,008"
,BP3YM74,CareDx Inc,CDNA,<0.01%,Biotechnology,US,---,"$28,797,875.68","1,535,068"
,BK1KWF7,Grocery Outlet Holding Corp,GO,<0.01%,Food Retail,US,---,"$28,784,056.08","2,913,366"
,BM90J52,Cullinan Therapeutics Inc,CGEM,<0.01%,Biotechnology,US,---,"$28,767,473.00","1,855,966"
,BD3BX01,JBG SMITH Properties,JBGS,<0.01%,Office REITs,US,---,"$28,667,458.17","1,884,777"
,2690636,Univest Financial Corp,UVSP,<0.01%,Regional Banks,US,---,"$28,664,717.40","854,388"
,B3KKGQ8,Virtus Investment Partners Inc,VRTS,<0.01%,Asset Management & Custody Banks,US,---,"$28,659,336.96","207,136"
,B11FJD6,Green Plains Inc,GPRE,<0.01%,Oil & Gas Refining & Marketing,US,---,"$28,617,452.73","2,084,301"
,BGCYWN8,Xencor Inc,XNCR,<0.01%,Biotechnology,US,---,"$28,501,209.76","2,231,888"
,2912374,Universal Insurance Holdings Inc,UVE,<0.01%,Property & Casualty Insurance,US,---,"$28,446,973.14","808,842"
,BNKGY06,First Advantage Corp,FA,<0.01%,Human Resource & Employment Services,US,---,"$28,398,185.62","2,467,262"
,BP48CK8,Evolv Technologies Holdings Inc,EVLV,<0.01%,Electronic Equipment & Instruments,US,---,"$28,321,138.30","5,343,611"
,BR3T9B6,Rapport Therapeutics Inc,RAPP,<0.01%,Pharmaceuticals,US,---,"$28,255,769.90","973,330"
,BT6BF59,Alliance Laundry Holdings Inc,ALH,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$28,254,689.69","1,259,683"
,BMG99Y1,Ventyx Biosciences Inc,VTYX,<0.01%,Pharmaceuticals,US,---,"$28,149,075.02","2,014,966"
,B3X26D8,Pacira BioSciences Inc,PCRX,<0.01%,Pharmaceuticals,US,---,"$28,132,264.72","1,283,992"
,2485876,Southside Bancshares Inc,SBSI,<0.01%,Regional Banks,US,---,"$28,095,981.84","897,062"
,BRTLBY3,Liberty Broadband Corp,LBRDA,<0.01%,Cable & Satellite,US,---,"$28,087,795.86","514,617"
,2125246,Sonic Automotive Inc,SAH,<0.01%,Automotive Retail,US,---,"$28,061,680.64","447,412"
,BJT16S6,Tronox Holdings PLC,TROX,<0.01%,Commodity Chemicals,US,---,"$27,921,134.56","3,732,772"
,BPY03W3,Global Business Travel Group I,GBTG,<0.01%,"Hotels, Resorts & Cruise Lines",US,---,"$27,737,319.76","5,070,808"
,BBBSMJ2,Coty Inc,COTY,<0.01%,Personal Care Products,US,---,"$27,703,238.97","11,037,147"
,BVLD6Y0,Figure Technology Solutions Inc,FIGR,<0.01%,Consumer Finance,US,---,"$27,699,043.20","1,095,690"
,BKDSMB5,Amerant Bancorp Inc,AMTB,<0.01%,Regional Banks,US,---,"$27,679,143.45","1,296,447"
,BP5JNQ3,Vestis Corp,VSTS,<0.01%,Diversified Support Services,US,---,"$27,617,553.53","3,509,219"
,BYZ1PQ6,Merchants Bancorp/IN,MBIN,<0.01%,Commercial & Residential Mortgage Finance,US,---,"$27,409,701.20","648,290"
,BMDBB99,Safehold Inc,SAFE,<0.01%,Other Specialized REITs,US,---,"$27,259,104.24","1,688,916"
,B42G8D2,Oppenheimer Holdings Inc,OPY,<0.01%,Investment Banking & Brokerage,US,---,"$26,985,989.44","312,736"
,BNSP8K3,Inhibrx Biosciences Inc,INBX,<0.01%,Biotechnology,US,---,"$26,971,533.33","363,841"
,BM9GT61,Certara Inc,CERT,<0.01%,Health Care Technology,US,---,"$26,967,755.40","3,809,005"
,BD5G2C9,Byline Bancorp Inc,BY,<0.01%,Regional Banks,US,---,"$26,945,318.40","863,632"
,2046176,Apogee Enterprises Inc,APOG,<0.01%,Building Products,US,---,"$26,911,192.22","675,821"
,BP4GNJ8,iRadimed Corp,IRMD,<0.01%,Health Care Equipment,US,---,"$26,872,867.98","259,566"
,BP3YM85,Trupanion Inc,TRUP,<0.01%,Property & Casualty Insurance,US,---,"$26,859,488.52","1,012,038"
,BM9XCN0,F&G Annuities & Life Inc,FG,<0.01%,Life & Health Insurance,US,---,"$26,853,069.90","1,185,566"
,B3KWJV0,Capitol Federal Financial Inc,CFFN,<0.01%,Regional Banks,US,---,"$26,760,010.78","3,727,021"
,2838306,Standard Motor Products Inc,SMP,<0.01%,Automotive Parts & Equipment,US,---,"$26,738,725.12","673,859"
,BRT7Y75,Miami International Holdings Inc,MIAX,<0.01%,Financial Exchanges & Data,US,---,"$26,636,842.80","625,278"
,B016HX8,First Mid Bancshares Inc,FMBH,<0.01%,Regional Banks,US,---,"$26,492,131.92","645,992"
,2380904,Graham Corp,GHM,<0.01%,Industrial Machinery & Supplies & Components,US,---,"$26,481,456.12","326,046"
,BQNKXX2,Septerna Inc,SEPN,<0.01%,Pharmaceuticals,US,---,"$26,311,418.30","906,665"
,BQT2053,NB Bancorp Inc,NBBK,<0.01%,Regional Banks,US,---,"$26,226,966.70","1,229,005"
,2949316,Horizon Bancorp Inc/IN,HBNC,<0.01%,Regional Banks,US,---,"$26,135,494.76","1,551,989"
,2613086,Myers Industries Inc,MYE,<0.01%,"Metal, Glass & Plastic Containers",US,---,"$26,086,328.10","1,166,130"
,BKPH157,USA TODAY Co Inc,TDAY,<0.01%,Publishing,US,---,"$26,077,065.00","4,382,700"
,2638625,National Beverage Corp,FIZZ,<0.01%,Soft Drinks & Non-alcoholic Beverages,US,---,"$26,043,030.20","716,452"
,2966865,Rush Enterprises Inc,RUSHB,<0.01%,Trading Companies & Distributors,US,---,"$25,874,093.70","400,218"
,BQ1PC32,Burke & Herbert Financial Services Corp,BHRB,<0.01%,Regional Banks,US,---,"$25,827,938.64","400,806"
,BYWVTY5,CytomX Therapeutics Inc,CTMX,<0.01%,Biotechnology,US,---,"$25,737,513.21","4,792,833"
,BPLJ828,ADTRAN Holdings Inc,ADTN,<0.01%,Communications Equipment,US,---,"$25,672,604.40","2,516,922"
,BNGJQZ8,Porch Group Inc,PRCH,<0.01%,Application Software,US,---,"$25,661,997.00","3,125,700"
,2619705,CNB Financial Corp/PA,CCNE,<0.01%,Regional Banks,US,---,"$25,654,359.00","915,900"
,2230946,Central Pacific Financial Corp,CPF,<0.01%,Regional Banks,US,---,"$25,640,046.25","805,025"
,BLB0YH0,Day One Biopharmaceuticals Inc,DAWN,<0.01%,Biotechnology,US,---,"$25,567,136.40","2,411,994"
,2620257,Mercantile Bank Corp,MBWM,<0.01%,Regional Banks,US,---,"$25,563,279.42","494,837"
,B4NB858,Omeros Corp,OMER,<0.01%,Pharmaceuticals,US,---,"$25,550,048.80","2,120,336"
,BYX38K9,NextDecade Corp,NEXT,<0.01%,Oil & Gas Storage & Transportation,US,---,"$25,488,409.87","4,728,833"
,BDZ30Q0,Arvinas Inc,ARVN,<0.01%,Pharmaceuticals,US,---,"$25,487,450.14","1,920,682"
,BMGTLY5,ArriVent Biopharma Inc,AVBP,<0.01%,Biotechnology,US,---,"$25,461,395.11","1,108,463"
,BN0ZBP7,TrustCo Bank Corp NY,TRST,<0.01%,Regional Banks,US,---,"$25,420,154.51","586,123"
,BF321D7,Empire State Realty Trust Inc,ESRT,<0.01%,Office REITs,US,---,"$25,328,247.00","4,307,525"
,BNQS7K7,Clover Health Investments Corp,CLOV,<0.01%,Managed Health Care,US,---,"$25,212,269.83","12,063,287"
,BBNBTD2,Esperion Therapeutics Inc,ESPR,<0.01%,Pharmaceuticals,US,---,"$25,210,914.10","7,525,646"
,2730877,Redwood Trust Inc,RWT,<0.01%,Mortgage REITs,US,---,"$25,051,900.50","4,140,810"
,2116659,Camden National Corp,CAC,<0.01%,Regional Banks,US,---,"$24,987,838.96","541,331"
,BMFPJK6,ACV Auctions Inc,ACVA,<0.01%,Diversified Support Services,US,---,"$24,947,595.00","5,133,250"
,BS3D8K7,Guardian Pharmacy Services Inc,GRDN,<0.01%,Health Care Services,US,---,"$24,928,524.63","743,913"
,BRXZ3P6,SailPoint Inc,SAIL,<0.01%,Application Software,US,---,"$24,717,666.60","1,753,026"
,B6TPXR5,Hanmi Financial Corp,HAFC,<0.01%,Regional Banks,US,---,"$24,695,908.51","945,841"
,BJLKVS6,Phathom Pharmaceuticals Inc,PHAT,<0.01%,Pharmaceuticals,US,---,"$24,637,670.88","1,961,598"
,BMFPJH3,SEMrush Holdings Inc,SEMR,<0.01%,Application Software,US,---,"$24,628,010.16","2,083,588"
,2568357,Marten Transport Ltd,MRTN,<0.01%,Cargo Ground Transportation,US,---,"$24,497,945.55","1,802,645"
,BKLCWZ3,Castle Biosciences Inc,CSTL,<0.01%,Health Care Services,US,---,"$24,364,615.48","823,964"
,BF5HDJ0,Business First Bancshares Inc,BFST,<0.01%,Regional Banks,US,---,"$24,263,257.20","888,764"
,2568090,Matthews International Corp,MATW,<0.01%,Specialized Consumer Services,US,---,"$24,225,685.14","916,598"
,BX3SQS1,Astrana Health Inc,ASTH,<0.01%,Health Care Services,US,---,"$24,160,517.61","1,188,417"
,BMVV9R5,Annexon Inc,ANNX,<0.01%,Biotechnology,US,---,"$24,158,601.60","4,314,036"
,2767756,ScanSource Inc,SCSC,<0.01%,Technology Distributors,US,---,"$24,087,258.78","654,901"
,B01KGF5,Pursuit Attractions and Hospitality Inc,PRSU,<0.01%,Leisure Facilities,US,---,"$24,071,439.04","692,504"
