Holdings details

Total Stock Market ETF (VTI)


Equity,as of 02/28/2026

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2536763,Lowe's Cos Inc,LOW,0.22%,Home Improvement Retail,US,---,"$4,693,951,994.55","17,741,815"
,B8KQN82,Eaton Corp PLC,ETN,0.22%,Electrical Components & Equipment,US,---,"$4,618,399,744.64","12,285,592"
,BYVYHH4,Welltower Inc,WELL,0.21%,Health Care REITs,US,---,"$4,496,474,125.44","21,709,512"
,2636607,Newmont Corp,NEM,0.21%,Gold,US,---,"$4,486,308,450.00","34,510,065"
,2685717,ConocoPhillips,COP,0.21%,Oil & Gas Exploration & Production,US,---,"$4,434,326,659.26","39,082,731"
,BYV2325,S&P Global Inc,SPGI,0.21%,Financial Exchanges & Data,US,---,"$4,332,791,151.16","9,805,357"
,BDRXDB4,Booking Holdings Inc,BKNG,0.21%,"Hotels, Resorts & Cruise Lines",US,---,"$4,322,034,282.40","1,019,504"
,BL9XPM3,Arista Networks Inc,ANET,0.20%,Communications Equipment,US,---,"$4,254,077,224.50","31,865,747"
,2250870,Danaher Corp,DHR,0.20%,Life Sciences Tools & Services,US,---,"$4,235,735,747.04","20,108,886"
,2853688,Stryker Corp,SYK,0.20%,Health Care Equipment,US,---,"$4,218,066,241.76","10,886,456"
,B44WZD7,Prologis Inc,PLD,0.20%,Industrial REITs,US,---,"$4,176,846,344.27","29,296,811"
,B4BNMY3,Accenture PLC,ACN,0.20%,IT Consulting & Other Services,US,---,"$4,112,034,464.00","19,701,200"
,2671501,Parker-Hannifin Corp,PH,0.19%,Industrial Machinery & Supplies & Components,US,---,"$4,027,745,362.26","3,991,107"
,2126335,Bristol-Myers Squibb Co,BMY,0.19%,Pharmaceuticals,US,---,"$4,016,145,755.16","64,392,268"
,2931034,Vertex Pharmaceuticals Inc,VRTX,0.19%,Biotechnology,US,---,"$3,985,968,220.83","8,022,801"
,2705024,Progressive Corp/The,PGR,0.19%,Property & Casualty Insurance,US,---,"$3,963,698,961.12","18,551,432"
,BTN1Y11,Medtronic PLC,MDT,0.19%,Health Care Equipment,US,---,"$3,959,755,759.72","40,546,342"
,2654461,Capital One Financial Corp,COF,0.19%,Consumer Finance,US,---,"$3,933,101,562.80","20,103,770"
,2378534,McKesson Corp,MCK,0.18%,Health Care Distributors,US,---,"$3,854,349,862.61","3,903,653"
,B3BQMF6,Chubb Ltd,CB,0.18%,Property & Casualty Insurance,US,---,"$3,818,672,986.44","11,203,054"
,2224701,Corning Inc,GLW,0.17%,Electronic Components,US,---,"$3,669,884,046.60","24,404,070"
,2692632,Altria Group Inc,MO,0.17%,Tobacco,US,---,"$3,665,191,101.44","53,087,936"
,2965839,CME Group Inc,CME,0.17%,Financial Exchanges & Data,US,---,"$3,643,828,488.00","11,404,784"
,2113434,Boston Scientific Corp,BSX,0.17%,Health Care Equipment,US,---,"$3,603,699,153.45","46,892,637"
,2459020,Intuit Inc,INTU,0.17%,Application Software,US,---,"$3,600,068,137.31","8,801,477"
,2044545,Comcast Corp,CMCSA,0.17%,Integrated Telecommunication Services,US,---,"$3,558,694,475.52","114,944,912"
,B80NXX8,ServiceNow Inc,NOW,0.17%,Systems Software,US,---,"$3,544,196,287.94","32,813,594"
,2842255,Starbucks Corp,SBUX,0.17%,Restaurants,US,---,"$3,525,021,607.38","35,962,269"
,2008154,Adobe Inc,ADBE,0.17%,Application Software,US,---,"$3,474,204,223.23","13,239,603"
,2829601,Southern Co/The,SO,0.16%,Electric Utilities,US,---,"$3,389,978,732.04","34,811,858"
,BMV3LG4,AppLovin Corp,APP,0.16%,Application Software,US,---,"$3,383,899,690.15","7,783,195"
,BKLJ8V2,Howmet Aerospace Inc,HWM,0.16%,Aerospace & Defense,US,---,"$3,338,621,313.12","12,717,104"
,B87ZMX0,Palo Alto Networks Inc,PANW,0.16%,Systems Software,US,---,"$3,282,991,288.20","22,045,335"
,2648806,Northrop Grumman Corp,NOC,0.16%,Aerospace & Defense,US,---,"$3,269,752,804.32","4,513,864"
,BMH4FS1,Constellation Energy Corp,CEG,0.16%,Electric Utilities,US,---,"$3,259,962,237.96","9,882,267"
,BK9ZQ96,Trane Technologies PLC,TT,0.15%,Building Products,US,---,"$3,243,040,727.20","7,014,710"
,B7VD3F2,Duke Energy Corp,DUK,0.15%,Electric Utilities,US,---,"$3,220,850,243.80","24,614,828"
,2577609,CVS Health Corp,CVS,0.15%,Health Care Services,US,---,"$3,207,503,282.90","40,143,971"
,2352118,Freeport-McMoRan Inc,FCX,0.15%,Copper,US,---,"$3,091,161,643.36","45,404,842"
,BL3LWS8,Vertiv Holdings Co,VRT,0.15%,Electrical Components & Equipment,US,---,"$3,082,531,331.75","12,093,575"
,B94Q9V0,T-Mobile US Inc,TMUS,0.15%,Wireless Telecommunication Services,US,---,"$3,072,217,084.17","14,151,813"
,2937667,Waste Management Inc,WM,0.15%,Environmental & Facilities Services,US,---,"$3,069,079,513.20","12,743,230"
